id,beach_id,date,temperature2m_max,temperature2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,uv_index_max,sunrise,sunset
"105","1","2025-07-11","75.84980010986328","69.45980072021484","0","2","10.478141784667969","7","2025-07-11T05:36:34.000Z","2025-07-11T20:26:35.000Z"
"106","2","2025-07-11","75.97489929199219","69.85489654541016","0","2","10.26585578918457","7.699999809265137","2025-07-11T05:36:41.000Z","2025-07-11T20:26:33.000Z"
"107","3","2025-07-11","79.08169555664062","71.25170135498047","0","3","9.493423461914062","7.300000190734863","2025-07-11T05:41:00.000Z","2025-07-11T20:25:42.000Z"
"108","4","2025-07-11","78.33830261230469","72.39830017089844","0","6","8.225348472595215","6.900000095367432","2025-07-11T05:43:02.000Z","2025-07-11T20:26:07.000Z"
"109","5","2025-07-11","76.23320007324219","70.11320495605469","0","2","9.966581344604492","7.699999809265137","2025-07-11T05:36:48.000Z","2025-07-11T20:26:30.000Z"
"110","6","2025-07-11","75.88489532470703","73.00489807128906","0","11","13.205881118774414","7.25","2025-07-11T05:38:23.000Z","2025-07-11T20:25:30.000Z"
"111","7","2025-07-11","76.91000366210938","71.05999755859375","0","3","10.004168510437012","7","2025-07-11T05:37:15.000Z","2025-07-11T20:26:20.000Z"
"112","8","2025-07-11","75.19999694824219","72.86000061035156","0.031496062874794006","8","15.7561674118042","7.300000190734863","2025-07-11T05:39:39.000Z","2025-07-11T20:25:37.000Z"
"113","9","2025-07-11","76.24490356445312","70.1249008178711","0","2","9.966581344604492","7","2025-07-11T05:36:48.000Z","2025-07-11T20:26:30.000Z"
"114","10","2025-07-11","75.96320343017578","69.84320068359375","0","2","10.26585578918457","7.699999809265137","2025-07-11T05:36:41.000Z","2025-07-11T20:26:33.000Z"
