id,beach_id,date,wave_height,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,sea_level_height_msl,swell_wave_height,swell_wave_period
"9985","1","2025-07-11T00:00:00.000Z","2.427821636199951","71.8699951171875","0.25010421872138977","153.43505859375","-2.690288782119751","2.3622047901153564","4.949999809265137"
"9986","1","2025-07-11T01:00:00.000Z","2.3622047901153564","71.8699951171875","0.15817978978157043","135.00009155273438","-3.4120733737945557","2.2965879440307617","4.900000095367432"
"9987","1","2025-07-11T02:00:00.000Z","2.3622047901153564","71.77999877929688","0.11185000091791153","180","-3.74015736579895","2.2965879440307617","4.900000095367432"
"9988","1","2025-07-11T03:00:00.000Z","2.3622047901153564","71.69000244140625","0.11185000091791153","180","-3.543307304382324","2.2965879440307617","4.849999904632568"
"9989","1","2025-07-11T04:00:00.000Z","2.3622047901153564","71.5999984741211","0.11185000091791153","270","-2.8543307781219482","2.2965879440307617","4.849999904632568"
"9990","1","2025-07-11T05:00:00.000Z","2.3622047901153564","71.5999984741211","0.11185000091791153","270","-1.9356954097747803","2.2965879440307617","4.849999904632568"
"9991","1","2025-07-11T06:00:00.000Z","2.3622047901153564","71.51000213623047","0.11185000091791153","270","-1.017060399055481","2.2965879440307617","4.949999809265137"
"9992","1","2025-07-11T07:00:00.000Z","2.2965879440307617","71.5999984741211","0.11185000091791153","270","-0.32808399200439453","2.2965879440307617","5.099999904632568"
"9993","1","2025-07-11T08:00:00.000Z","2.2965879440307617","71.69000244140625","0.11185000091791153","180","-0.06561679393053055","2.2965879440307617","5.199999809265137"
"9994","1","2025-07-11T09:00:00.000Z","2.2965879440307617","71.95999908447266","0.11185000091791153","180","-0.3608923852443695","2.2965879440307617","5.25"
"9995","1","2025-07-11T10:00:00.000Z","2.3622047901153564","72.41000366210938","0.11185000091791153","180","-1.1154855489730835","2.2965879440307617","5.25"
"9996","1","2025-07-11T11:00:00.000Z","2.3622047901153564","72.86000061035156","0.11185000091791153","180","-2.034120798110962","2.2965879440307617","5.25"
"9997","1","2025-07-11T12:00:00.000Z","2.3622047901153564","73.4000015258789","0","90","-2.7887139320373535","2.2965879440307617","5.349999904632568"
"9998","1","2025-07-11T13:00:00.000Z","2.3622047901153564","73.76000213623047","0.15817978978157043","44.9998779296875","-3.2808399200439453","2.3622047901153564","5.449999809265137"
"9999","1","2025-07-11T14:00:00.000Z","2.3622047901153564","74.02999877929688","0.15817978978157043","44.9998779296875","-3.4120733737945557","2.3622047901153564","5.550000190734863"
"10000","1","2025-07-11T15:00:00.000Z","2.3622047901153564","74.1199951171875","0.25010421872138977","26.56500244140625","-3.0839896202087402","2.3622047901153564","5.599999904632568"
"10001","1","2025-07-11T16:00:00.000Z","2.427821636199951","74.1199951171875","0.25010421872138977","26.56500244140625","-2.3293962478637695","2.3622047901153564","5.650000095367432"
"10002","1","2025-07-11T17:00:00.000Z","2.427821636199951","74.02999877929688","0.31635957956314087","44.9998779296875","-1.2795275449752808","2.3622047901153564","5.650000095367432"
"10003","1","2025-07-11T18:00:00.000Z","2.427821636199951","73.8499984741211","0.31635957956314087","44.9998779296875","-0.2296587973833084","2.3622047901153564","5.650000095367432"
"10004","1","2025-07-11T19:00:00.000Z","2.493438243865967","73.66999816894531","0.25010421872138977","63.43499755859375","0.5905511975288391","2.3622047901153564","5.699999809265137"
"10005","1","2025-07-11T20:00:00.000Z","2.493438243865967","73.58000183105469","0.22370000183582306","90","1.0498687028884888","2.3622047901153564","5.699999809265137"
"10006","1","2025-07-11T21:00:00.000Z","2.493438243865967","73.48999786376953","0.22370000183582306","90","0.9514435529708862","2.3622047901153564","5.699999809265137"
"10007","1","2025-07-11T22:00:00.000Z","2.493438243865967","73.30999755859375","0.25010421872138977","116.56497192382812","0.19685038924217224","2.3622047901153564","5.75"
"10008","1","2025-07-11T23:00:00.000Z","2.493438243865967","73.1300048828125","0.25010421872138977","116.56497192382812","-0.9186351895332336","2.3622047901153564","5.75"
"10009","1","2025-07-12T00:00:00.000Z","2.493438243865967","73.04000091552734","0.25010421872138977","116.56497192382812","-2.0997374057769775","2.3622047901153564","5.75"
"10010","1","2025-07-12T01:00:00.000Z","2.427821636199951","72.86000061035156","0.22370000183582306","90","-3.0511810779571533","2.3622047901153564","5.75"
"10011","1","2025-07-12T02:00:00.000Z","2.427821636199951","72.7699966430664","0.22370000183582306","90","-3.6417324542999268","2.3622047901153564","5.75"
"10012","1","2025-07-12T03:00:00.000Z","2.427821636199951","72.68000030517578","0.11185000091791153","90","-3.772965908050537","2.3622047901153564","5.75"
"10013","1","2025-07-12T04:00:00.000Z","2.3622047901153564","72.58999633789062","0.15817978978157043","44.9998779296875","-3.34645676612854","2.3622047901153564","5.75"
"10014","1","2025-07-12T05:00:00.000Z","2.3622047901153564","72.5","0","90","-2.5262467861175537","2.3622047901153564","5.75"
"10015","1","2025-07-12T06:00:00.000Z","2.3622047901153564","72.41000366210938","0","90","-1.6076115369796753","2.3622047901153564","5.75"
"10016","1","2025-07-12T07:00:00.000Z","2.2965879440307617","72.5","0.11185000091791153","0","-0.787401556968689","2.2965879440307617","5.699999809265137"
"10017","1","2025-07-12T08:00:00.000Z","2.2965879440307617","72.58999633789062","0.11185000091791153","270","-0.2296587973833084","2.2965879440307617","5.699999809265137"
"10018","1","2025-07-12T09:00:00.000Z","2.2965879440307617","72.86000061035156","0.11185000091791153","270","-0.06561679393053055","2.230971097946167","5.699999809265137"
