id,beach_id,date,temperature_2m,precipitation_probability,cloud_cover,wind_speed_10m,wind_direction
"9985","1","2025-07-11T00:00:00.000Z","71.43980407714844","2","97","3.163595676422119","8.130019187927246"
"9986","1","2025-07-11T01:00:00.000Z","71.34980010986328","1","100","0.7074015140533447","108.43504333496094"
"9987","1","2025-07-11T02:00:00.000Z","72.69979858398438","2","75","4.611693382263184","165.96372985839844"
"9988","1","2025-07-11T03:00:00.000Z","71.70980072021484","1","25","4.302955150604248","171.02745056152344"
"9989","1","2025-07-11T04:00:00.000Z","70.71980285644531","0","9","3.4727580547332764","194.9314727783203"
"9990","1","2025-07-11T05:00:00.000Z","69.90980529785156","0","3","2.0624120235443115","229.39878845214844"
"9991","1","2025-07-11T06:00:00.000Z","69.45980072021484","0","14","2.7670161724090576","345.9637145996094"
"9992","1","2025-07-11T07:00:00.000Z","71.97979736328125","1","100","3.42195200920105","11.309895515441895"
"9993","1","2025-07-11T08:00:00.000Z","74.22979736328125","1","100","5.336076736450195","56.97612762451172"
"9994","1","2025-07-11T09:00:00.000Z","74.7697982788086","1","100","7.16189432144165","91.78987121582031"
"9995","1","2025-07-11T10:00:00.000Z","75.39979553222656","1","100","6.405793190002441","77.90525817871094"
"9996","1","2025-07-11T11:00:00.000Z","74.58979797363281","1","100","6.744471549987793","84.28949737548828"
"9997","1","2025-07-11T12:00:00.000Z","74.67980194091797","2","100","6.81459379196167","66.80138397216797"
"9998","1","2025-07-11T13:00:00.000Z","75.39979553222656","0","90","6.579214096069336","72.18102264404297"
"9999","1","2025-07-11T14:00:00.000Z","75.75980377197266","1","64","7.436132431030273","83.0888671875"
"10000","1","2025-07-11T15:00:00.000Z","75.84980010986328","1","57","7.687602519989014","81.63420104980469"
"10001","1","2025-07-11T16:00:00.000Z","74.85980224609375","1","46","10.478141784667969","106.11348724365234"
"10002","1","2025-07-11T17:00:00.000Z","74.7697982788086","1","33","9.003751754760742","116.56498718261719"
"10003","1","2025-07-11T18:00:00.000Z","74.40980529785156","1","52","7.385488510131836","125.13427734375"
"10004","1","2025-07-11T19:00:00.000Z","73.4197998046875","1","100","7.934257507324219","130.42599487304688"
"10005","1","2025-07-11T20:00:00.000Z","72.42980194091797","1","100","5.871858596801758","139.6355438232422"
"10006","1","2025-07-11T21:00:00.000Z","71.97979736328125","2","100","4.032809257507324","109.44012451171875"
"10007","1","2025-07-11T22:00:00.000Z","72.24980163574219","2","100","5.101144790649414","127.87504577636719"
"10008","1","2025-07-11T23:00:00.000Z","71.97979736328125","1","100","4.320364475250244","111.25057983398438"
"10009","1","2025-07-12T00:00:00.000Z","71.88980102539062","1","100","4.885681629180908","105.94546508789062"
"10010","1","2025-07-12T01:00:00.000Z","71.88980102539062","1","100","1.4148030281066895","108.43504333496094"
"10011","1","2025-07-12T02:00:00.000Z","71.79979705810547","1","100","2.829606056213379","71.5649642944336"
"10012","1","2025-07-12T03:00:00.000Z","72.24980163574219","1","100","1.9243401288986206","54.46223831176758"
"10013","1","2025-07-12T04:00:00.000Z","71.61979675292969","2","53","1.6285605430603027","74.05453491210938"
"10014","1","2025-07-12T05:00:00.000Z","71.97979736328125","2","100","3.1077396869659424","59.74365234375"
"10015","1","2025-07-12T06:00:00.000Z","72.33979797363281","2","93","5.461213111877441","55.00790023803711"
"10016","1","2025-07-12T07:00:00.000Z","72.96980285644531","2","100","4.7030229568481445","64.65387725830078"
"10017","1","2025-07-12T08:00:00.000Z","74.22979736328125","2","62","5.101144790649414","37.87505340576172"
"10018","1","2025-07-12T09:00:00.000Z","72.96980285644531","2","100","6.327191352844238","44.99989700317383"
"10019","1","2025-07-12T10:00:00.000Z","73.59980010986328","2","100","7.024322032928467","52.76508331298828"
"10020","1","2025-07-12T11:00:00.000Z","73.4197998046875","2","100","7.826303482055664","59.036319732666016"
"10021","1","2025-07-12T12:00:00.000Z","74.04979705810547","3","100","6.303419589996338","62.525657653808594"
"10022","1","2025-07-12T13:00:00.000Z","74.58979797363281","3","100","6.239586353302002","75.46550750732422"
"10023","1","2025-07-12T14:00:00.000Z","75.12979888916016","3","100","5.703253269195557","78.69010162353516"
"10024","1","2025-07-12T15:00:00.000Z","75.12979888916016","3","95","6.440851211547852","69.6767807006836"
"10025","1","2025-07-12T16:00:00.000Z","74.94979858398438","3","100","7.109296798706055","77.27565002441406"
"10026","1","2025-07-12T17:00:00.000Z","73.95980072021484","7","100","7.658254623413086","83.2902603149414"
"10027","1","2025-07-12T18:00:00.000Z","73.77980041503906","7","75","6.583016395568848","80.21765899658203"
"10028","1","2025-07-12T19:00:00.000Z","73.32980346679688","7","41","7.829500198364258","90"
"10029","1","2025-07-12T20:00:00.000Z","71.34980010986328","7","100","8.352131843566895","97.69596862792969"
"10030","1","2025-07-12T21:00:00.000Z","74.41339874267578","4","12","7.133890628814697","131.18582153320312"
"10031","1","2025-07-12T22:00:00.000Z","74.05340576171875","4","12","6.08529806137085","126.0274658203125"
"10032","1","2025-07-12T23:00:00.000Z","73.69339752197266","4","23","5.773020267486572","125.53776550292969"
"10033","1","2025-07-13T00:00:00.000Z","73.33340454101562","4","12","6.3311448097229","122.0053482055664"
"10034","1","2025-07-13T01:00:00.000Z","72.97340393066406","4","64","6.4524946212768555","123.69009399414062"
"10035","1","2025-07-13T02:00:00.000Z","72.43340301513672","4","35","5.410580635070801","119.74478912353516"
"10036","1","2025-07-13T03:00:00.000Z","71.89340209960938","1","25","4.611693382263184","104.03627014160156"
